date,revenue
2011-01-29,81652.12
2011-01-30,78971.7
2011-01-31,57708.086
2011-02-01,60762.145
2011-02-02,46961.473
2011-02-03,69378.83
2011-02-04,68790.66
2011-02-05,93450.34
2011-02-06,83499.28
2011-02-07,65166.492
2011-02-08,60880.496
2011-02-09,60410.223
2011-02-10,62743.426
2011-02-11,71985.91
2011-02-12,92587.66
2011-02-13,100765.83
2011-02-14,59730.22
2011-02-15,64279.547
2011-02-16,58986.527
2011-02-17,57189.844
2011-02-18,67469.09
2011-02-19,87652.3
2011-02-20,81370.7
2011-02-21,65548.62
2011-02-22,55381.875
2011-02-23,55071.58
2011-02-24,53987.38
2011-02-25,61778.25
2011-02-26,81840.49
2011-02-27,79452.72
2011-02-28,58795.76
2011-03-01,62541.246
2011-03-02,59997.62
2011-03-03,64519.195
2011-03-04,64022.5
2011-03-05,86245.125
2011-03-06,94307.234
2011-03-07,66984.945
2011-03-08,61247.402
2011-03-09,58773.312
2011-03-10,60105.734
2011-03-11,68116.945
2011-03-12,85664.79
2011-03-13,85981.18
2011-03-14,65842.98
2011-03-15,62553.035
2011-03-16,60077.01
2011-03-17,57510.086
2011-03-18,64847.87
2011-03-19,83448.26
2011-03-20,81527.07
2011-03-21,61369.934
2011-03-22,54605.406
2011-03-23,51682.45
2011-03-24,50469.84
2011-03-25,62775.11
2011-03-26,80262.24
2011-03-27,81246.56
2011-03-28,57508.08
2011-03-29,52571.785
2011-03-30,50143.58
2011-03-31,55982.117
2011-04-01,74381.69
2011-04-02,90660.54
2011-04-03,89122.85
2011-04-04,66060.69
2011-04-05,62549.15
2011-04-06,60211.81
2011-04-07,60591.812
2011-04-08,66804.14
2011-04-09,86149.34
2011-04-10,85082.914
2011-04-11,66610.99
2011-04-12,61562.04
2011-04-13,57038.92
2011-04-14,58825.992
2011-04-15,68676.27
2011-04-16,83059.766
2011-04-17,83618.5
2011-04-18,61272.402
2011-04-19,54793.777
2011-04-20,56721.56
2011-04-21,56466.875
2011-04-22,69573.54
2011-04-23,84173.27
2011-04-24,136556.2
2011-04-25,56343.65
2011-04-26,50792.504
2011-04-27,50878.23
2011-04-28,51953.52
2011-04-29,64545.516
2011-04-30,80649.86
2011-05-01,81348.086
2011-05-02,63048.51
2011-05-03,66280.11
2011-05-04,57673.305
2011-05-05,56722.15
2011-05-06,68219.6
2011-05-07,78024.35
2011-05-08,65856.63
2011-05-09,69037.71
2011-05-10,60176.863
2011-05-11,61559.977
2011-05-12,61020.152
2011-05-13,70474.484
2011-05-14,81897.44
2011-05-15,88270.87
2011-05-16,61249.844
2011-05-17,56034.96
2011-05-18,52916.47
2011-05-19,52919.062
2011-05-20,61082.637
2011-05-21,76463.61
2011-05-22,73609.81
2011-05-23,58099.305
2011-05-24,52565.367
2011-05-25,52173.086
2011-05-26,57010.58
2011-05-27,61640.867
2011-05-28,71035.37
2011-05-29,66453.69
2011-05-30,64783.617
2011-05-31,55382.508
2011-06-01,64777.15
2011-06-02,62399.742
2011-06-03,73698.766
2011-06-04,83866.445
2011-06-05,87929.17
2011-06-06,73196.086
2011-06-07,69885.64
2011-06-08,66112.04
2011-06-09,65697.89
2011-06-10,72496.34
2011-06-11,83436.94
2011-06-12,86432.62
2011-06-13,70324.85
2011-06-14,65560.06
2011-06-15,68371.42
2011-06-16,63154.766
2011-06-17,68184.766
2011-06-18,78642.12
2011-06-19,72745.67
2011-06-20,66330.836
2011-06-21,59044.043
2011-06-22,58577.547
2011-06-23,62727.63
2011-06-24,68433.52
2011-06-25,72975.34
2011-06-26,76971.516
2011-06-27,61851.777
2011-06-28,54031.19
2011-06-29,54229.92
2011-06-30,59680.05
2011-07-01,83280.734
2011-07-02,87249.89
2011-07-03,78345.77
2011-07-04,61558.53
2011-07-05,71986.88
2011-07-06,71423.016
2011-07-07,73864.6
2011-07-08,76537.1
2011-07-09,89247.9
2011-07-10,87869.5
2011-07-11,73526.69
2011-07-12,66958.305
2011-07-13,65691.72
2011-07-14,64563.195
2011-07-15,76061.69
2011-07-16,85919.09
2011-07-17,85714.11
2011-07-18,67368.664
2011-07-19,60060.97
2011-07-20,60646.41
2011-07-21,62605.445
2011-07-22,71245.82
2011-07-23,82429.8
2011-07-24,80840.53
2011-07-25,64022.008
2011-07-26,58176.715
2011-07-27,56268.004
2011-07-28,59269.84
2011-07-29,67907.45
2011-07-30,79988.164
2011-07-31,81276.78
2011-08-01,73527.164
2011-08-02,68721.71
2011-08-03,72544.53
2011-08-04,65403.68
2011-08-05,72393.22
2011-08-06,85241.74
2011-08-07,89646.6
2011-08-08,70681.16
2011-08-09,69837.94
2011-08-10,67595.65
2011-08-11,68170.48
2011-08-12,77637.33
2011-08-13,90853.35
2011-08-14,91935.164
2011-08-15,75417.53
2011-08-16,66647.63
2011-08-17,64271.01
2011-08-18,61616.29
2011-08-19,70723.49
2011-08-20,86329.16
2011-08-21,94304.16
2011-08-22,69111.484
2011-08-23,61578.547
2011-08-24,59770.832
2011-08-25,58398.168
2011-08-26,66597.79
2011-08-27,83885.01
2011-08-28,83710.25
2011-08-29,60632.77
2011-08-30,55026.66
2011-08-31,59672.707
2011-09-01,70030.37
2011-09-02,77247.58
2011-09-03,90251.81
2011-09-04,73860.01
2011-09-05,81838.65
2011-09-06,71786.55
2011-09-07,67711.66
2011-09-08,66415.56
2011-09-09,76839.39
2011-09-10,92252.13
2011-09-11,98304.266
2011-09-12,71983.18
2011-09-13,66498.375
2011-09-14,63633.27
2011-09-15,71138.375
2011-09-16,74676.74
2011-09-17,89945.125
2011-09-18,91001.914
2011-09-19,67646.5
2011-09-20,61455.27
2011-09-21,60126.285
2011-09-22,59465.99
2011-09-23,71462.41
2011-09-24,88338.01
2011-09-25,90351.58
2011-09-26,64137.906
2011-09-27,59375.996
2011-09-28,57877.195
2011-09-29,57811.008
2011-09-30,77218.914
2011-10-01,103303.48
2011-10-02,98985.16
2011-10-03,78954.59
2011-10-04,68226.64
2011-10-05,68328.84
2011-10-06,68580.945
2011-10-07,77305.45
2011-10-08,92850.68
2011-10-09,97202.11
2011-10-10,78887.164
2011-10-11,69651.33
2011-10-12,71889.37
2011-10-13,68278.46
2011-10-14,79468.34
2011-10-15,101900.63
2011-10-16,98300.7
2011-10-17,73638.39
2011-10-18,64084.66
2011-10-19,60402.715
2011-10-20,59474.06
2011-10-21,71261.59
2011-10-22,89055.63
2011-10-23,89029.21
2011-10-24,66756.11
2011-10-25,59878.184
2011-10-26,59611.83
2011-10-27,60823.766
2011-10-28,70600.65
2011-10-29,88402.08
2011-10-30,87578.75
2011-10-31,60772.54
2011-11-01,69107.695
2011-11-02,64394.766
2011-11-03,72422.7
2011-11-04,75115.28
2011-11-05,95505.27
2011-11-06,102992.98
2011-11-07,72089.84
2011-11-08,65686.086
2011-11-09,68067.11
2011-11-10,68616.46
2011-11-11,77215.63
2011-11-12,92858.91
2011-11-13,94547.305
2011-11-14,70121.99
2011-11-15,69836.21
2011-11-16,63451.906
2011-11-17,60533.168
2011-11-18,69179.37
2011-11-19,89862.305
2011-11-20,89067.54
2011-11-21,67810.805
2011-11-22,67403.555
2011-11-23,78121.69
2011-11-24,46929.85
2011-11-25,60840.91
2011-11-26,67558.55
2011-11-27,72723.484
2011-11-28,59781.72
2011-11-29,56462.652
2011-11-30,55463.68
2011-12-01,67059.21
2011-12-02,76487.54
2011-12-03,96922.18
2011-12-04,95582.09
2011-12-05,77906.72
2011-12-06,70756.555
2011-12-07,66419.04
2011-12-08,69137.31
2011-12-09,76198.914
2011-12-10,91943.984
2011-12-11,97262.516
2011-12-12,77716.29
2011-12-13,71151.12
2011-12-14,70205.766
2011-12-15,77436.53
2011-12-16,75943.37
2011-12-17,90814.87
2011-12-18,88255.0
2011-12-19,72688.74
2011-12-20,70441.76
2011-12-21,70195.61
2011-12-22,74765.74
2011-12-23,90179.02
2011-12-24,75971.19
2011-12-25,23.684082
2011-12-26,76325.13
2011-12-27,65582.88
2011-12-28,65825.6
2011-12-29,66650.484
2011-12-30,87501.586
2011-12-31,87300.086
2012-01-01,57512.605
2012-01-02,88954.54
2012-01-03,75694.73
2012-01-04,66912.6
2012-01-05,74374.586
2012-01-06,79278.14
2012-01-07,96698.664
2012-01-08,99459.06
2012-01-09,74848.73
2012-01-10,69234.23
2012-01-11,74838.16
2012-01-12,64549.625
2012-01-13,78462.13
2012-01-14,97410.54
2012-01-15,96703.305
2012-01-16,83135.57
2012-01-17,58392.152
2012-01-18,67169.24
2012-01-19,64225.645
2012-01-20,72704.72
2012-01-21,103941.89
2012-01-22,89316.98
2012-01-23,66347.71
2012-01-24,63103.4
2012-01-25,58861.406
2012-01-26,61199.402
2012-01-27,72188.08
2012-01-28,92042.42
2012-01-29,91700.42
2012-01-30,67834.96
2012-01-31,67586.6
2012-02-01,80754.61
2012-02-02,77596.125
2012-02-03,93947.98
2012-02-04,118686.61
2012-02-05,111364.72
2012-02-06,84752.11
2012-02-07,78668.43
2012-02-08,77208.58
2012-02-09,79749.77
2012-02-10,80670.46
2012-02-11,114012.875
2012-02-12,117272.45
2012-02-13,88495.43
2012-02-14,67395.984
2012-02-15,73922.805
2012-02-16,71594.22
2012-02-17,80409.22
2012-02-18,102246.31
2012-02-19,102842.66
2012-02-20,83586.33
2012-02-21,68848.63
2012-02-22,67501.95
2012-02-23,68606.72
2012-02-24,76295.07
2012-02-25,98657.7
2012-02-26,100153.96
2012-02-27,73408.56
2012-02-28,66218.3
2012-02-29,66633.46
2012-03-01,81947.73
2012-03-02,86518.43
2012-03-03,112871.51
2012-03-04,111421.914
2012-03-05,89468.49
2012-03-06,84945.08
2012-03-07,78596.35
2012-03-08,80650.07
2012-03-09,87619.945
2012-03-10,109215.38
2012-03-11,113909.94
2012-03-12,88421.89
2012-03-13,78558.41
2012-03-14,73789.805
2012-03-15,83087.35
2012-03-16,83008.96
2012-03-17,103307.984
2012-03-18,104625.44
2012-03-19,79792.81
2012-03-20,69071.68
2012-03-21,70419.71
2012-03-22,69984.71
2012-03-23,76921.72
2012-03-24,100737.266
2012-03-25,104991.61
2012-03-26,76432.516
2012-03-27,65900.055
2012-03-28,67750.89
2012-03-29,64714.074
2012-03-30,84012.336
2012-03-31,104192.695
2012-04-01,110158.66
2012-04-02,83687.33
2012-04-03,87431.16
2012-04-04,75637.38
2012-04-05,82358.62
2012-04-06,98891.055
2012-04-07,118113.66
2012-04-08,95592.36
2012-04-09,86002.695
2012-04-10,77272.79
2012-04-11,79644.83
2012-04-12,77016.32
2012-04-13,86993.69
2012-04-14,104473.625
2012-04-15,107872.34
2012-04-16,76049.61
2012-04-17,72244.61
2012-04-18,68799.695
2012-04-19,67157.6
2012-04-20,75990.15
2012-04-21,99111.984
2012-04-22,101538.914
2012-04-23,73082.41
2012-04-24,67198.945
2012-04-25,65394.305
2012-04-26,66533.72
2012-04-27,78540.945
2012-04-28,96019.51
2012-04-29,100173.58
2012-04-30,74361.36
2012-05-01,82261.27
2012-05-02,77669.984
2012-05-03,86346.96
2012-05-04,87119.61
2012-05-05,105578.67
2012-05-06,113097.47
2012-05-07,90257.195
2012-05-08,81210.18
2012-05-09,81898.3
2012-05-10,76309.13
2012-05-11,87982.6
2012-05-12,109592.78
2012-05-13,90951.74
2012-05-14,83893.79
2012-05-15,85174.86
2012-05-16,78477.47
2012-05-17,73754.15
2012-05-18,85733.36
2012-05-19,101662.15
2012-05-20,107634.71
2012-05-21,79219.18
2012-05-22,74641.44
2012-05-23,71097.01
2012-05-24,73502.05
2012-05-25,88751.875
2012-05-26,99986.47
2012-05-27,91486.93
2012-05-28,89539.25
2012-05-29,74804.47
2012-05-30,72708.06
2012-05-31,76122.16
2012-06-01,103884.82
2012-06-02,117200.3
2012-06-03,118554.91
2012-06-04,90174.66
2012-06-05,89825.945
2012-06-06,88603.84
2012-06-07,88466.914
2012-06-08,97188.45
2012-06-09,115771.17
2012-06-10,114254.984
2012-06-11,100383.84
2012-06-12,90034.19
2012-06-13,85079.195
2012-06-14,87595.44
2012-06-15,105802.086
2012-06-16,113568.4
2012-06-17,99807.75
2012-06-18,89312.65
2012-06-19,82753.125
2012-06-20,81539.69
2012-06-21,80842.4
2012-06-22,93113.2
2012-06-23,103674.28
2012-06-24,106089.625
2012-06-25,84241.21
2012-06-26,75885.99
2012-06-27,74533.46
2012-06-28,76365.57
2012-06-29,96315.77
2012-06-30,106492.16
2012-07-01,110602.44
2012-07-02,95191.3
2012-07-03,103606.66
2012-07-04,85361.93
2012-07-05,91883.52
2012-07-06,104886.9
2012-07-07,110784.85
2012-07-08,114740.83
2012-07-09,96432.15
2012-07-10,86624.695
2012-07-11,88100.74
2012-07-12,88355.21
2012-07-13,97438.46
2012-07-14,114338.945
2012-07-15,118655.11
2012-07-16,88039.45
2012-07-17,81173.766
2012-07-18,76488.74
2012-07-19,81498.055
2012-07-20,93835.83
2012-07-21,104498.42
2012-07-22,107417.266
2012-07-23,82424.42
2012-07-24,79602.68
2012-07-25,75508.17
2012-07-26,76518.625
2012-07-27,85187.95
2012-07-28,94624.54
2012-07-29,97311.89
2012-07-30,77603.625
2012-07-31,78852.805
2012-08-01,90552.71
2012-08-02,93334.08
2012-08-03,105387.35
2012-08-04,110825.875
2012-08-05,117535.945
2012-08-06,98127.74
2012-08-07,87176.7
2012-08-08,86191.586
2012-08-09,91789.984
2012-08-10,97197.19
2012-08-11,115662.02
2012-08-12,119863.04
2012-08-13,94642.29
2012-08-14,89308.56
2012-08-15,93423.28
2012-08-16,90857.42
2012-08-17,95073.125
2012-08-18,111628.92
2012-08-19,118595.65
2012-08-20,88414.32
2012-08-21,80997.234
2012-08-22,79408.26
2012-08-23,76788.31
2012-08-24,89759.14
2012-08-25,108550.484
2012-08-26,114361.89
2012-08-27,85702.445
2012-08-28,78172.555
2012-08-29,73989.67
2012-08-30,76578.03
2012-08-31,103325.2
2012-09-01,122364.87
2012-09-02,114179.445
2012-09-03,119464.21
2012-09-04,86035.96
2012-09-05,86208.53
2012-09-06,87525.375
2012-09-07,93043.69
2012-09-08,119960.96
2012-09-09,128513.18
2012-09-10,90161.49
2012-09-11,87077.836
2012-09-12,84477.836
2012-09-13,83187.055
2012-09-14,98862.94
2012-09-15,124101.734
2012-09-16,120613.164
2012-09-17,87615.62
2012-09-18,80481.57
2012-09-19,73782.15
2012-09-20,77862.93
2012-09-21,91878.875
2012-09-22,113184.67
2012-09-23,114043.77
2012-09-24,81185.61
2012-09-25,76664.016
2012-09-26,74132.97
2012-09-27,74521.37
2012-09-28,89046.414
2012-09-29,113487.586
2012-09-30,112220.78
2012-10-01,94737.23
2012-10-02,89334.59
2012-10-03,92979.445
2012-10-04,82200.086
2012-10-05,93219.35
2012-10-06,118865.19
2012-10-07,115762.125
2012-10-08,92334.414
2012-10-09,85770.51
2012-10-10,80175.45
2012-10-11,81018.05
2012-10-12,94705.8
2012-10-13,114498.15
2012-10-14,116631.18
2012-10-15,93162.45
2012-10-16,74791.87
2012-10-17,72794.164
2012-10-18,71705.0
2012-10-19,81988.31
2012-10-20,102880.44
2012-10-21,103105.55
2012-10-22,73396.71
2012-10-23,69096.57
2012-10-24,66149.56
2012-10-25,65792.11
2012-10-26,87682.836
2012-10-27,107195.02
2012-10-28,102602.34
2012-10-29,77518.59
2012-10-30,77459.96
2012-10-31,69301.266
2012-11-01,83905.42
2012-11-02,96565.82
2012-11-03,123450.59
2012-11-04,119043.64
2012-11-05,91324.47
2012-11-06,83592.65
2012-11-07,81200.57
2012-11-08,85112.37
2012-11-09,98626.83
2012-11-10,118099.35
2012-11-11,119772.9
2012-11-12,91037.305
2012-11-13,77231.02
2012-11-14,76598.11
2012-11-15,82419.85
2012-11-16,88963.516
2012-11-17,113252.49
2012-11-18,106356.96
2012-11-19,81567.43
2012-11-20,82887.69
2012-11-21,94605.73
2012-11-22,57326.42
2012-11-23,65856.914
2012-11-24,85697.81
2012-11-25,93255.086
2012-11-26,76117.56
2012-11-27,69416.25
2012-11-28,66304.56
2012-11-29,66570.43
2012-11-30,85718.42
2012-12-01,118077.125
2012-12-02,114850.91
2012-12-03,98228.96
2012-12-04,80884.88
2012-12-05,85238.33
2012-12-06,86786.36
2012-12-07,92924.84
2012-12-08,115424.02
2012-12-09,120410.44
2012-12-10,86990.78
2012-12-11,85960.46
2012-12-12,83252.93
2012-12-13,80903.695
2012-12-14,93186.37
2012-12-15,117701.39
2012-12-16,113065.61
2012-12-17,87663.26
2012-12-18,84829.445
2012-12-19,86869.27
2012-12-20,86797.055
2012-12-21,91354.44
2012-12-22,111458.086
2012-12-23,104602.92
2012-12-24,84276.28
2012-12-25,24.729004
2012-12-26,83689.46
2012-12-27,81133.984
2012-12-28,90477.75
2012-12-29,103346.75
2012-12-30,96194.95
2012-12-31,93036.8
2013-01-01,65700.56
2013-01-02,87961.25
2013-01-03,96228.21
2013-01-04,90898.164
2013-01-05,116165.6
2013-01-06,120077.625
2013-01-07,91455.19
2013-01-08,85217.586
2013-01-09,82189.37
2013-01-10,82292.44
2013-01-11,97568.91
2013-01-12,126448.26
2013-01-13,114004.984
2013-01-14,86170.34
2013-01-15,87035.07
2013-01-16,80448.945
2013-01-17,81081.17
2013-01-18,93371.09
2013-01-19,120201.78
2013-01-20,104856.734
2013-01-21,87844.555
2013-01-22,72774.32
2013-01-23,71643.98
2013-01-24,69963.32
2013-01-25,84247.46
2013-01-26,113709.32
2013-01-27,108193.52
2013-01-28,77049.31
2013-01-29,69889.7
2013-01-30,64730.105
2013-01-31,74802.02
2013-02-01,106811.5
2013-02-02,139750.4
2013-02-03,116250.83
2013-02-04,82051.83
2013-02-05,90346.56
2013-02-06,89787.78
2013-02-07,83910.46
2013-02-08,100271.914
2013-02-09,131301.9
2013-02-10,123406.7
2013-02-11,99297.305
2013-02-12,98611.125
2013-02-13,102842.46
2013-02-14,80359.37
2013-02-15,104848.12
2013-02-16,123106.57
2013-02-17,124864.11
2013-02-18,96133.836
2013-02-19,77801.375
2013-02-20,82700.555
2013-02-21,85687.734
2013-02-22,89527.21
2013-02-23,117910.625
2013-02-24,123219.695
2013-02-25,89046.86
2013-02-26,76897.195
2013-02-27,76298.914
2013-02-28,84557.15
2013-03-01,109978.14
2013-03-02,138217.14
2013-03-03,135238.94
2013-03-04,98796.586
2013-03-05,86328.45
2013-03-06,87826.59
2013-03-07,81681.36
2013-03-08,94743.195
2013-03-09,122499.73
2013-03-10,122138.29
2013-03-11,100481.41
2013-03-12,93875.43
